CoMeT,Version,Qclevel,Headerlines,Type,Parameter_name,standard_name,long_name,units,mult_fact,add_fact,instrument1,SN1,instrument2,SN2,instrument3,SN3,instrument4,SN4
1,2018,orig,19,string,date,date_string,DDMMYY,UTC,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,string,time,time_string,HHMMSS,UTC,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,latitude,latitude,Latitude,degrees_north,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,longitude,longitude,Longitude,degrees_east,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,altitude,altitude,Height above mean sea level,meters,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,pressure,air_pressure,Air pressure,hPa,1,0,Vaisala PTB210,,Gill pressure port,,,,,
1,2018,orig,19,float,temperature_fast,air_temperature,Air Temperature (Fast Response),Celsius,1,0,Campbell Scientific 109SS,,,,,,,
1,2018,orig,19,float,temperature_slow,air_temperature,Air Temperature (Slow Response),Celsius,1,0,Vaisala HMP155A,,,,,,,
1,2018,orig,19,float,rh_slow,relative_humidity,Relative Humidity (Slow Response),percent,1,0,Vaisala HMP155A,,,,,,,
1,2018,orig,19,float,rh_fast,relative_humidity,Relative Humidity (Calculated Using Fast Temperature),percent,1,0,Vaisala HMP155A,,Campbell Scientific 109SS,,,,,
1,2018,orig,19,float,dewpoint,dew_point_temperature,Dew Point Temperature (Derived),Celsius,1,0,Vaisala HMP155A,,Campbell Scientific 109SS,,,,,
1,2018,orig,19,float,water_vapor_mixing_ratio,humidity_mixing_ratio,Water Vapor Mixing Ratio (Derived),g/kg,1,0,Vaisala HMP155A,,Campbell Scientific 109SS,,Vaisala PTB210,,Gill pressure port,
1,2018,orig,19,float,theta,air_potential_temperature,Potential Temperature (Derived),Kelvin,1,0,Campbell Scientific 109SS,,Vaisala PTB210,,Gill pressure port,,,
1,2018,orig,19,float,theta_v,virtual_potential_temperature,Virtual Potential Temperature (Derived),Kelvin,1,0,Vaisala HMP155A,,Campbell Scientific 109SS,,Vaisala PTB210,,Gill pressure port,
1,2018,orig,19,float,theta_e,equivalent_potential_temperature,Equivalent Potential Temperature (Derived),Kelvin,1,0,Vaisala HMP155A,,Campbell Scientific 109SS,,Vaisala PTB210,,Gill pressure port,
1,2018,orig,19,float,anemometer_speed,wind_speed,Anemometer Speed,m/s,1,0,RM Young 05103,,,,,,,
